seed,update,parameter_id,parameter_name,shape,method,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro
0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.015066111460328102,0.0013615678763017058,0.09093322604894638,0.0162931140512228,0.0013616119977086782,0.08401203900575638
0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.02593906782567501,0.002540206303820014,0.10290615260601044,0.024377409368753433,0.0025402484461665154,0.11026285588741302
0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.09088675677776337,0.01058779563754797,0.11965640634298325,0.08392836153507233,0.010587658733129501,0.1301954984664917
0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.04657747223973274,0.005886721424758434,0.13358254730701447,0.04458498954772949,0.005886666942387819,0.14030411839485168
0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.02925538644194603,0.002938974881544709,0.1013670489192009,0.0223022922873497,0.002938921097666025,0.13384582102298737
0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.046654269099235535,0.005508127622306347,0.12676982581615448,0.04471871256828308,0.005508115515112877,0.13315953314304352
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.04012215510010719,0.004788375925272703,0.12053856253623962,0.038520969450473785,0.004788369406014681,0.12565602362155914
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.012343501672148705,0.0011007963912561536,0.0904700830578804,0.01210581324994564,0.0011008046567440033,0.09230023622512817
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.00889640673995018,0.0005896789953112602,0.06644859164953232,0.008763792924582958,0.0005896835355088115,0.06745979934930801
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.009729215875267982,0.0006709424196742475,0.07042252272367477,0.009840537793934345,0.000670946785248816,0.06959280371665955
0,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.044662222266197205,0.005277842748910189,0.1196998730301857,0.04346443712711334,0.005277840420603752,0.12308789789676666
